,Title,Genre,Premiere,Runtime,IMDB Score,Language
350,Rebirth,Thriller,15-Jul-16,100,5,English
351,Recovery Boys,Documentary,29-Jun-18,89,6.6,English
352,Red Dot,Thriller,11-Feb-21,86,5.5,Swedish
353,ReMastered: Devil at the Crossroads,Documentary,26-Apr-19,48,7,English
354,ReMastered: Massacre at the Stadium,Documentary,11-Jan-19,64,7.3,English/Spanish
355,ReMastered: The Lion's Share,Documentary,17-May-19,84,7,English
356,ReMastered: The Miami Showband Massacre,Documentary,22-Mar-19,70,7,English
357,ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-19,64,7.3,English
358,ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-18,58,7.1,English
359,ReMastered: Who Killed Jam Master Jay?,Documentary,7-Dec-18,58,6.6,English
360,ReMastered: Who Shot the Sheriff?,Documentary,12-Oct-18,57,6.9,English
361,Resurface,Documentary,1-Sep-17,27,7,English
362,Reversing Roe,Documentary,13-Sep-18,99,7.5,English
363,Rich in Love,Romantic comedy,30-Apr-20,105,5.8,Portuguese
364,Ride or Die,Psychological thriller drama,15-Apr-21,142,5.5,Japanese
365,Rim of the World,Science fiction adventure,24-May-19,98,5.2,English
366,Rising High,Satire,17-Apr-20,94,5.8,German
367,Rising Phoenix,Documentary,26-Aug-20,106,8.1,English
368,Road to Roma,Making-of,11-Feb-20,72,7.7,Spanish
369,Rocko's Modern Life: Static Cling,Animation / Comedy,9-Aug-19,45,7,English
370,Rodney King,One-man show,28-Apr-17,52,5.8,English
371,Rogue City,Crime drama,30-Oct-20,116,6.1,French
372,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-19,144,7.6,English
373,Roma,Drama,14-Dec-18,135,7.7,Spanish
374,Rooting for Roona,Documentary,15-Oct-20,41,7.1,Bengali
375,Rose Island,Comedy,9-Dec-20,117,7,Italian
376,Roxanne Roxanne,Biopic,23-Mar-18,98,6.2,English
377,Sand Castle,War,21-Apr-17,113,6.3,English
378,Sandy Wexler,Comedy,14-Apr-17,131,5.2,English
379,Sarah Cooper: Everything's Fine,Variety show,27-Oct-20,49,5.6,English
380,Sardar Ka Grandson,Comedy,18-May-21,139,4.1,Hindi
381,Saving Capitalism,Documentary,21-Nov-17,73,6.8,English
382,Searching for Sheela,Documentary,22-Apr-21,58,4.1,English
383,Seaspiracy,Documentary,24-Mar-21,89,8.2,English
384,Secret Obsession,Thriller,18-Jul-19,97,4.4,English
385,Secrets of the Saqqara Tomb,Documentary,28-Oct-20,114,7.3,English/Arabic
386,See You Yesterday,Science fiction,17-May-19,87,5.2,English
387,Seeing Allred,Documentary,9-Feb-18,95,6.9,English
388,Sentinelle,Action,5-Mar-21,80,4.7,French
389,Sergio,Biopic,17-Apr-20,118,6.1,English
390,Serious Men,Drama,2-Oct-20,114,6.8,Hindi
391,Seriously Single,Comedy,31-Jul-20,107,4.5,English
392,Set It Up,Romantic comedy,15-Jun-18,105,6.5,English
393,Seventeen,Coming-of-age comedy-drama,18-Oct-19,99,7.2,Spanish
394,Sextuplets,Comedy,16-Aug-19,99,4.4,English
395,Shawn Mendes: In Wonder,Documentary,23-Nov-20,83,6.6,English
396,Shawn Mendes: Live in Concert,Concert Film,25-Nov-20,87,7.4,English
397,Shimmer Lake,Crime thriller,9-Jun-17,86,6.3,English
